"Academic Journal Guide 2024期刊目录（即ABS Journal Ranking 2024版目录）
源自 https://charteredabs.org/academic-journal-guide/academic-journal-guide-2024，共收录1822本期刊。",,,
48,ACCOUNT,International Journal of Managerial and Financial Accounting,2
49,ACCOUNT,Journal of Accounting and Organizational Change,2
50,ACCOUNT,Journal of Accounting in Emerging Economies,2
51,ACCOUNT,Journal of Applied Accounting Research,2
52,ACCOUNT,Journal of Contemporary Accounting and Economics,2
53,ACCOUNT,Journal of Forensic Accounting Research,2
54,ACCOUNT,Journal of International Accounting Research,2
55,ACCOUNT,Journal of International Financial Management and Accounting,2
56,ACCOUNT,Journal of Management Accounting Research,2
57,ACCOUNT,Journal of Management Control,2
58,ACCOUNT,"Journal of Public Budgeting, Accounting and Financial Management",2
59,ACCOUNT,Journal of Tax Administration,2
60,ACCOUNT,Managerial Auditing Journal,2
61,ACCOUNT,Qualitative Research in Accounting and Management,2
62,ACCOUNT,"Sustainability Accounting, Management and Policy Journal",2
63,ACCOUNT,"Accounting, Finance & Governance Review ",1
64,ACCOUNT,Advances in Environmental Accounting and Management,1
65,ACCOUNT,Advances in Public Interest Accounting,1
66,ACCOUNT,"African Journal of Accounting, Auditing and Finance",1
67,ACCOUNT,Asian Journal of Accounting Research,1
68,ACCOUNT,ATA Journal of Legal Tax Research,1
69,ACCOUNT,"Australasian Accounting, Business and Finance Journal",1
70,ACCOUNT,China Journal of Accounting Studies,1
71,ACCOUNT,Comptabilite Controle Audit,1
72,ACCOUNT,EDPACS,1
73,ACCOUNT,International Journal of Critical Accounting,1
74,ACCOUNT,Journal of Accounting and Management Information Systems,1
75,ACCOUNT,Journal of Accounting and Taxation,1
76,ACCOUNT,Journal of Forensic and Investigative Accounting (previously Journal of Forensic Accounting),1
77,ACCOUNT,Journal of Governmental & Non-Profit Accounting,1
78,ACCOUNT,Journal of Information Systems,1
79,ACCOUNT,Journal of Islamic Accounting and Business Research ,1
80,ACCOUNT,Management Accounting Frontiers,1
81,ACCOUNT,Meditari Accountancy Research,1
82,ACCOUNT,Pacific Accounting Review,1
83,ACCOUNT,Research on Professional Responsibility and Ethics in Accounting,1
84,ACCOUNT,Revista Contabilidade & Finanças,1
85,ACCOUNT,Revista de Contabilidad-Spanish Accounting Review,1
86,ACCOUNT,Revista Espanola de Financiacion y Contabilidad,1
87,ACCOUNT,Social and Environmental Accountability Journal,1
88,ACCOUNT,South African Journal of Accounting Research,1
89,ACCOUNT,World Tax Journal,1
90,BUS HIST & ECON HIST,Business History,4
91,BUS HIST & ECON HIST,Business History Review,4
92,BUS HIST & ECON HIST,Economic History Review,4
93,BUS HIST & ECON HIST,Enterprise and Society,3
94,BUS HIST & ECON HIST,European Review of Economic History,3
95,BUS HIST & ECON HIST,Explorations in Economic History,3
96,BUS HIST & ECON HIST,Journal of Economic History,3
97,BUS HIST & ECON HIST,Accounting Historians Journal,2
98,BUS HIST & ECON HIST,Accounting History,2
99,BUS HIST & ECON HIST,Accounting History Review,2
100,BUS HIST & ECON HIST,Australian Economic History Review,2
101,BUS HIST & ECON HIST,Cliometrica,2
102,BUS HIST & ECON HIST,Economic History of Developing Regions,2
103,BUS HIST & ECON HIST,Entreprises et Histoire,2
104,BUS HIST & ECON HIST,Essays in Economic and Business History,2
105,BUS HIST & ECON HIST,European Journal of the History of Economic Thought,2
106,BUS HIST & ECON HIST,Financial History Review,2
107,BUS HIST & ECON HIST,Journal of the History of Economic Thought,2
108,BUS HIST & ECON HIST,Journal of Transport History,2
109,BUS HIST & ECON HIST,Labor History,2
110,BUS HIST & ECON HIST,Management and Organizational History,2
111,BUS HIST & ECON HIST,Historical Studies in Industrial Relations,1
112,BUS HIST & ECON HIST,Irish Economic and Social History,1
113,BUS HIST & ECON HIST,Journal of European Economic History,1
114,BUS HIST & ECON HIST,Journal of Historical Research in Marketing,1
115,BUS HIST & ECON HIST,Journal of Management History,1
116,BUS HIST & ECON HIST,Revista de Historia Economica - Journal of Iberian and Latin American Economic History,1
117,BUS HIST & ECON HIST,Scandinavian Economic History Review,1
118,BUS HIST & ECON HIST,Zeitschrift für Unternehmensgeschichte,1
119,ECON,American Economic Review,4*
120,ECON,Annals of Statistics,4*
121,ECON,Econometrica,4*
122,ECON,Journal of Political Economy,4*
123,ECON,Quarterly Journal of Economics,4*
124,ECON,Review of Economic Studies,4*
125,ECON,American Economic Journal: Applied Economics,4
126,ECON,American Economic Journal: Macroeconomics,4
127,ECON,Biometrika,4
128,ECON,Econometric Theory,4
129,ECON,Economic Journal,4
130,ECON,International Economic Review,4
131,ECON,Journal of Business and Economic Statistics,4
132,ECON,Journal of Econometrics,4
133,ECON,Journal of Economic Literature,4
134,ECON,Journal of Economic Perspectives,4
135,ECON,Journal of Economic Theory,4
136,ECON,Journal of International Economics,4
137,ECON,Journal of Labor Economics,4
138,ECON,Journal of Monetary Economics,4
139,ECON,Journal of the American Statistical Association,4
140,ECON,Journal of the European Economic Association,4
141,ECON,Journal of the Royal Statistical Society. Series B: Statistical Methodology,4
142,ECON,Quantitative Economics,4
143,ECON,RAND Journal of Economics,4
144,ECON,Review of Economics and Statistics,4
145,ECON,Theoretical Economics,4
146,ECON,American Economic Journal: Economic Policy,3
147,ECON,American Economic Journal: Microeconomics,3
148,ECON,American Economic Review: Insights,3
149,ECON,American Journal of Agricultural Economics,3
150,ECON,Annual Review of Economics,3
151,ECON,Brookings Papers on Economic Activity,3
152,ECON,Cambridge Journal of Economics,3
153,ECON,Canadian Journal of Economics,3
154,ECON,Computational Statistics and Data Analysis,3
155,ECON,Ecological Economics,3
156,ECON,Econometric Reviews,3
157,ECON,Econometrics Journal,3
158,ECON,Economic Development and Cultural Change,3
159,ECON,Economic Inquiry,3
160,ECON,Economic Policy,3
161,ECON,Economic Theory,3
162,ECON,Economica,3
163,ECON,Economics Letters,3
164,ECON,Energy Economics,3
165,ECON,Environmental and Resource Economics,3
166,ECON,European Economic Review,3
167,ECON,European Review of Agricultural Economics,3
168,ECON,Experimental Economics,3
169,ECON,Games and Economic Behavior,3
170,ECON,Health Economics (United Kingdom),3
171,ECON,IMF Economic Review,3
172,ECON,International Journal of Industrial Organization,3
173,ECON,International Statistical Review,3
174,ECON,Journal of Agricultural Economics,3
175,ECON,Journal of Applied Econometrics,3
176,ECON,Journal of Comparative Economics,3
177,ECON,Journal of Computational and Graphical Statistics,3
178,ECON,Journal of Development Economics,3
179,ECON,Journal of Economic Behavior and Organization,3
180,ECON,Journal of Economic Dynamics and Control,3
181,ECON,Journal of Economic Growth,3
182,ECON,Journal of Environmental Economics and Management,3
183,ECON,Journal of Health Economics,3
184,ECON,Journal of Human Capital,3
185,ECON,Journal of Human Resources,3
186,ECON,Journal of Industrial Economics,3
187,ECON,Journal of Institutional Economics,3
188,ECON,Journal of Law and Economics,3
189,ECON,"Journal of Law, Economics, and Organization",3
190,ECON,Journal of Legal Studies,3
191,ECON,Journal of Mathematical Economics,3
192,ECON,Journal of Multivariate Analysis,3
193,ECON,Journal of Population Economics,3
194,ECON,Journal of Public Economics,3
195,ECON,Journal of Risk and Uncertainty,3
196,ECON,Journal of the Association of Environmental and Resource Economists,3
197,ECON,Journal of the Royal Statistical Society. Series A: Statistics in Society,3
198,ECON,Journal of the Royal Statistical Society. Series C: Applied Statistics,3
199,ECON,Journal of Time Series Analysis,3
200,ECON,Journal of Urban Economics,3
201,ECON,Labour Economics,3
202,ECON,Land Economics,3
203,ECON,Oxford Bulletin of Economics and Statistics,3
204,ECON,Oxford Economic Papers,3
205,ECON,Public Choice,3
206,ECON,Real Estate Economics,3
207,ECON,Review of Economic Dynamics,3
208,ECON,Review of Income and Wealth,3
209,ECON,Scandinavian Journal of Economics,3
210,ECON,Scandinavian Journal of Statistics,3
211,ECON,Social Choice and Welfare,3
212,ECON,World Bank Economic Review,3
213,ECON,Advances in Econometrics,2
214,ECON,Agricultural Economics (United Kingdom),2
215,ECON,American Journal of Health Economics,2
216,ECON,American Law and Economics Review,2
217,ECON,Annals of Applied Statistics,2
218,ECON,Annals of Economics and Finance,2
219,ECON,Annals of Public and Cooperative Economics,2
220,ECON,Annual Review of Resource Economics,2
221,ECON,Applied Economic Perspectives and Policy,2
222,ECON,Applied Economics,2
223,ECON,Australian Journal of Agricultural and Resource Economics,2
224,ECON,B.E. Journal of Economic Analysis and Policy,2
225,ECON,B.E. Journal of Macroeconomics,2
226,ECON,B.E. Journal of Theoretical Economics,2
227,ECON,Bulletin of Economic Research,2
228,ECON,Canadian Journal of Agricultural Economics,2
229,ECON,CESifo Economic Studies,2
230,ECON,China Economic Review,2
231,ECON,Computational Statistics,2
232,ECON,Contemporary Economic Policy,2
233,ECON,Contributions to Political Economy,2
234,ECON,Defence and Peace Economics,2
235,ECON,Econ Journal Watch,2
236,ECON,Economic Modelling,2
237,ECON,Economic Record,2
238,ECON,Economic Systems,2
239,ECON,Economic Systems Research,2
240,ECON,Economic Theory Bulletin,2
241,ECON,Economics and Human Biology,2
242,ECON,Economics and Philosophy,2
243,ECON,Economics and Politics,2
244,ECON,Economics of Education Review,2
245,ECON,Economics of Innovation and New Technology,2
246,ECON,Economics of Transition and Institutional Change,2
247,ECON,Empirical Economics,2
248,ECON,Environment and Development Economics,2
249,ECON,European Journal of Health Economics,2
250,ECON,European Journal of Political Economy,2
251,ECON,Fiscal Studies,2
252,ECON,GENEVA Risk and Insurance Review,2
253,ECON,German Economic Review,2
254,ECON,History of Political Economy,2
255,ECON,Information Economics and Policy,2
256,ECON,International Journal of Economic Theory,2
257,ECON,International Journal of Game Theory,2
258,ECON,International Journal of Health Economics and Management,2
259,ECON,International Journal of the Economics of Business,2
260,ECON,International Review of Economics and Finance,2
261,ECON,International Review of Environmental and Resource Economics,2
262,ECON,International Review of Law and Economics,2
263,ECON,Journal of African Economies,2
264,ECON,Journal of Agrarian Change,2
265,ECON,Journal of Agricultural and Resource Economics,2
266,ECON,Journal of Applied Probability,2
267,ECON,Journal of Applied Statistics,2
268,ECON,Journal of Behavioral and Experimental Economics,2
269,ECON,Journal of Business Economics,2
270,ECON,Journal of Cultural Economics,2
271,ECON,Journal of Economic Inequality,2
272,ECON,Journal of Economic Issues,2
273,ECON,Journal of Economic Methodology,2
274,ECON,Journal of Economic Studies,2
275,ECON,Journal of Economic Surveys,2
276,ECON,Journal of Economics/ Zeitschrift fur Nationalokonomie,2
277,ECON,Journal of Evolutionary Economics,2
278,ECON,Journal of Family and Economic Issues,2
279,ECON,Journal of Forest Economics,2
280,ECON,Journal of Housing Economics,2
281,ECON,"Journal of Industry, Competition and Trade",2
282,ECON,Journal of Institutional and Theoretical Economics,2
283,ECON,Journal of International Development,2
284,ECON,Journal of Macroeconomics,2
285,ECON,Journal of Nonparametric Statistics,2
286,ECON,Journal of Policy Modeling,2
287,ECON,Journal of Post Keynesian Economics,2
288,ECON,Journal of Productivity Analysis,2
289,ECON,Journal of Public Economic Theory,2
290,ECON,Journal of Regulatory Economics,2
291,ECON,Journal of Statistical Planning and Inference,2
292,ECON,Journal of the Economics of Ageing,2
293,ECON,Journal of the Japanese and International Economies,2
294,ECON,Journal of Time Series Econometrics,2
295,ECON,Macroeconomic Dynamics,2
296,ECON,Managerial and Decision Economics,2
297,ECON,Manchester School,2
298,ECON,Mathematical Social Sciences,2
299,ECON,National Tax Journal,2
300,ECON,Networks and Spatial Economics,2
301,ECON,North American Journal of Economics and Finance,2
302,ECON,Open Economies Review,2
303,ECON,Oxford Development Studies,2
304,ECON,Oxford Review of Economic Policy,2
305,ECON,Pacific Economic Review,2
306,ECON,PharmacoEconomics,2
307,ECON,Quarterly Review of Economics and Finance,2
308,ECON,Rationality and Society,2
309,ECON,Resource and Energy Economics,2
310,ECON,Resources Policy,2
311,ECON,Review of Behavioral Economics,2
312,ECON,Review of Development Economics,2
313,ECON,Review of Economic Design,2
314,ECON,Review of Economics of the Household,2
315,ECON,Review of Environmental Economics and Policy,2
316,ECON,Review of Industrial Organization,2
317,ECON,Review of International Economics,2
318,ECON,Review of Law and Economics,2
319,ECON,Review of Network Economics,2
320,ECON,Review of Political Economy,2
321,ECON,Review of World Economics,2
322,ECON,Scottish Journal of Political Economy,2
323,ECON,Southern Economic Journal,2
324,ECON,Spatial Economic Analysis,2
325,ECON,Stata Journal,2
326,ECON,Statistics and Probability Letters,2
327,ECON,Studies in Nonlinear Dynamics and Econometrics,2
328,ECON,World Bank Research Observer,2
329,ECON,World Economy,2
330,ECON,Advances in Austrian Economics,1
331,ECON,Advances in Decision Sciences,1
332,ECON,Agrekon,1
333,ECON,Agricultural and Resource Economics Review,1
334,ECON,Annals of Economics and Statistics,1
335,ECON,Applied Economic Analysis,1
336,ECON,Applied Economics Letters,1
337,ECON,Applied Health Economics and Heath Policy,1
338,ECON,"Aquaculture, Economics and Management",1
339,ECON,Asian Economic Journal,1
340,ECON,Asian Economic Papers,1
341,ECON,Atlantic Economic Journal,1
342,ECON,Australian Economic Papers,1
343,ECON,Australian Economic Review,1
344,ECON,Baltic Journal of Economics,1
345,ECON,Behavioural Public Policy ,1
346,ECON,Bulletin of Indonesian Economic Studies,1
347,ECON,Business Economics,1
348,ECON,China Agricultural Economic Review,1
349,ECON,China and World Economy,1
350,ECON,China Economic Journal,1
351,ECON,Cogent Economics and Finance,1
352,ECON,Comparative Economic Studies,1
353,ECON,Computational Economics,1
354,ECON,Constitutional Political Economy,1
355,ECON,Contemporary Economics,1
356,ECON,Credit and Capital Markets,1
357,ECON,De Economist,1
358,ECON,Decisions in Economics and Finance,1
359,ECON,Dynamic Games and Applications,1
360,ECON,Eastern Economic Journal,1
361,ECON,Eastern European Economics,1
362,ECON,Econometrics,1
363,ECON,EconomiA,1
364,ECON,Economia Agraria y Recursos Naturales – Agricultural and Resource Economics,1
365,ECON,Economic Analysis and Policy,1
366,ECON,Economic and Social Review,1
367,ECON,Economic Change and Restructuring,1
368,ECON,Economic Issues,1
369,ECON,Economic Notes,1
370,ECON,Economic Research-Ekonomska Istraživanja,1
371,ECON,Economics and Business Letters,1
372,ECON,Economics and Sociology,1
373,ECON,Economics of Energy and Environmental Policy,1
374,ECON,Economics of Governance,1
375,ECON,Economics of Transportation,1
376,ECON,Economies,1
377,ECON,Economists' Voice,1
378,ECON,Education Economics,1
379,ECON,Ekonomicheskaya Politika / Economic Policy,1
380,ECON,Ekonomista,1
381,ECON,Empirica,1
382,ECON,Environmental Economics and Policy Studies,1
383,ECON,Eurasian Economic Review,1
384,ECON,European Journal of Economics and Economic Policies: Intervention,1
385,ECON,European Journal of Law and Economics,1
386,ECON,FinanzArchiv,1
387,ECON,Forum for Health Economics and Policy,1
388,ECON,Foundations and Trends in Econometrics,1
389,ECON,Games,1
390,ECON,Global Economic Review,1
391,ECON,Global Economy Journal,1
392,ECON,Global Journal of Emerging Market Economies,1
393,ECON,Hacienda Pública Española / Review of Public Economics,1
394,ECON,Interdisciplinary Journal of Economics and Business Law,1
395,ECON,Intereconomics,1
396,ECON,International Advances in Economic Research,1
397,ECON,International Economic Journal,1
398,ECON,International Economics,1
399,ECON,International Game Theory Review,1
400,ECON,International Journal of Computational Economics and Econometrics,1
401,ECON,International Journal of Ecological Economics and Statistics,1
402,ECON,International Journal of Happiness and Development,1
403,ECON,International Journal of Political Economy,1
404,ECON,International Journal of Social Economics,1
405,ECON,International Review of Applied Economics,1
406,ECON,Jahrbucher fur Nationalokonomie und Statistik,1
407,ECON,Japan and the World Economy,1
408,ECON,Japanese Economic Review,1
409,ECON,Japanese Political Economy,1
410,ECON,Journal for Labour Market Research,1
411,ECON,Journal of Agricultural & Applied Economics,1
412,ECON,Journal of Agricultural and Food Industrial Organization,1
413,ECON,Journal of Air Transport Management,1
414,ECON,Journal of Applied Economics,1
415,ECON,Journal of Asian Economics,1
416,ECON,Journal of Bioeconomics,1
417,ECON,Journal of Choice Modelling,1
418,ECON,Journal of Competition Law & Economics,1
419,ECON,Journal of Developing Areas,1
420,ECON,Journal of Econometric Methods,1
421,ECON,Journal of Economic and Administrative Sciences,1
422,ECON,Journal of Economic and Financial Sciences,1
423,ECON,Journal of Economic Asymmetries,1
424,ECON,Journal of Economic Cooperation and Development,1
425,ECON,Journal of Economic Education,1
426,ECON,Journal of Economic Integration,1
427,ECON,Journal of Economic Interaction and Coordination,1
428,ECON,Journal of Economic Policy Reform,1
429,ECON,Journal of Gambling Business and Economics ,1
430,ECON,Journal of Income Distribution,1
431,ECON,Journal of Industrial and Business Economics,1
432,ECON,Journal of Interdisciplinary Economics,1
433,ECON,Journal of International Trade and Economic Development,1
434,ECON,Journal of Mechanism and Institution Design,1
435,ECON,Journal of Media Economics,1
436,ECON,Journal of the Asia Pacific Economy,1
437,ECON,Journal of the Economic Science Association,1
438,ECON,Man and the Economy,1
439,ECON,Metroeconomica,1
440,ECON,Mineral Economics,1
441,ECON,Montenegrin Journal of Economics,1
442,ECON,National Institute Economic Review,1
443,ECON,Natural Resources Journal,1
444,ECON,NETNOMICS: Economic Research and Electronic Networking,1
445,ECON,New Zealand Economic Papers,1
446,ECON,"Peace Economics, Peace Science and Public Policy",1
447,ECON,Portuguese Economic Journal,1
448,ECON,Post-Communist Economies,1
449,ECON,PSL Quarterly Review,1
450,ECON,Quantitative and Qualitative Analysis in Social Sciences,1
451,ECON,Quantitative Finance and Economics,1
452,ECON,Quarterly Journal of Austrian Economics,1
453,ECON,Research in Economics,1
454,ECON,Research in Transportation Economics,1
455,ECON,Review of Austrian Economics,1
456,ECON,Review of Economic Analysis,1
457,ECON,Review of Economics and Political Science,1
458,ECON,Review of Financial Economics,1
459,ECON,Review of Radical Political Economics,1
460,ECON,Russian Journal of Economics,1
461,ECON,SERIEs,1
462,ECON,South African Journal of Economic and Management Sciences,1
463,ECON,South African Journal of Economics,1
464,ECON,South Asia Economic Journal,1
465,ECON,Statistical Analysis and Data Mining,1
466,ECON,Strategic Behavior and the Environment,1
467,ECON,Studies in Agricultural Economics,1
468,ECON,Studies in Economics and Finance,1
469,ECON,Studies in Microeconomics,1
470,ECON,Swiss Journal of Economics and Statistics,1
471,ECON,The Forum for Social Economics,1
472,ECON,The Journal of Retirement,1
473,ECON,Tijdschrift Voor Economische en Sociale Geografie,1
474,ENT-SBM,Entrepreneurship Theory and Practice,4*
475,ENT-SBM,Journal of Business Venturing,4*
476,ENT-SBM,Strategic Entrepreneurship Journal,4
477,ENT-SBM,Entrepreneurship and Regional Development,3
478,ENT-SBM,Family Business Review,3
479,ENT-SBM,International Journal of Entrepreneurial Behaviour and Research,3
480,ENT-SBM,International Small Business Journal,3
481,ENT-SBM,Journal of Small Business Management,3
482,ENT-SBM,Small Business Economics,3
483,ENT-SBM,Entrepreneurship Research Journal,2
484,ENT-SBM,International Journal of Entrepreneurship and Innovation,2
485,ENT-SBM,International Journal of Entrepreneurship and Small Business,2
486,ENT-SBM,International Review of Entrepreneurship ,2
487,ENT-SBM,Journal of Business Venturing Insights,2
488,ENT-SBM,Journal of Family Business Strategy,2
489,ENT-SBM,Journal of Research in Marketing and Entrepreneurship,2
490,ENT-SBM,Journal of Small Business and Enterprise Development,2
491,ENT-SBM,Journal of Social Entrepreneurship,2
492,ENT-SBM,Venture Capital,2
493,ENT-SBM,International Entrepreneurship and Management Journal,1
494,ENT-SBM,International Journal of Entrepreneurial Venturing,1
495,ENT-SBM,International Journal of Management and Enterprise Development,1
496,ENT-SBM,International Journal of Small and Medium Enterprises,1
497,ENT-SBM,Journal of Enterprising Communities,1
498,ENT-SBM,Journal of Enterprising Culture,1
499,ENT-SBM,Journal of Entrepreneurship,1
500,ENT-SBM,Journal of Entrepreneurship and Innovation in Emerging Economies,1
501,ENT-SBM,Journal of Entrepreneurship and Public Policy,1
502,ENT-SBM,Journal of Entrepreneurship in Emerging Economies,1
503,ENT-SBM,"Journal of Entrepreneurship, Management and Innovation",1
504,ENT-SBM,Journal of International Entrepreneurship,1
505,ENT-SBM,Journal of Small Business and Entrepreneurship,1
506,ENT-SBM,Small Business International Review,1
507,ENT-SBM,Small Enterprise Research,1
508,ENT-SBM,Social Enterprise Journal,1
509,ENT-SBM,"World Review of Entrepreneurship, Management and Sustainable Development",1
510,ETHICS-CSR-MAN,Academy of Management Annals,4*
511,ETHICS-CSR-MAN,Academy of Management Journal,4*
512,ETHICS-CSR-MAN,Academy of Management Review,4*
513,ETHICS-CSR-MAN,Administrative Science Quarterly,4*
514,ETHICS-CSR-MAN,Journal of Management,4*
515,ETHICS-CSR-MAN,Academy of Management Perspectives,4
516,ETHICS-CSR-MAN,British Journal of Management,4
517,ETHICS-CSR-MAN,Journal of Management Studies,4
518,ETHICS-CSR-MAN,Academy of Management Discoveries ,3
519,ETHICS-CSR-MAN,Business and Society,3
520,ETHICS-CSR-MAN,Business Ethics Quarterly,3
521,ETHICS-CSR-MAN,California Management Review,3
522,ETHICS-CSR-MAN,European Management Review,3
523,ETHICS-CSR-MAN,Gender and Society,3
524,ETHICS-CSR-MAN,"Gender, Work and Organization",3
525,ETHICS-CSR-MAN,Harvard Business Review,3
526,ETHICS-CSR-MAN,International Journal of Management Reviews,3
527,ETHICS-CSR-MAN,Journal of Business Ethics,3
528,ETHICS-CSR-MAN,Journal of Business Research,3
529,ETHICS-CSR-MAN,Journal of Management Inquiry,3
530,ETHICS-CSR-MAN,MIT Sloan Management Review,3
531,ETHICS-CSR-MAN,Africa Journal of Management,2
532,ETHICS-CSR-MAN,Australian Journal of Management,2
533,ETHICS-CSR-MAN,BRQ Business Research Quarterly,2
534,ETHICS-CSR-MAN,Business and Politics,2
535,ETHICS-CSR-MAN,"Business Ethics, the Environment and Responsibility",2
536,ETHICS-CSR-MAN,Business Horizons,2
537,ETHICS-CSR-MAN,Canadian Journal of Administrative Sciences,2
538,ETHICS-CSR-MAN,Competition and Change,2
539,ETHICS-CSR-MAN,"Equality, Diversity and Inclusion: an International Journal",2
540,ETHICS-CSR-MAN,Eurasian Business Review,2
541,ETHICS-CSR-MAN,European Business Review,2
542,ETHICS-CSR-MAN,European Journal of Women's Studies,2
543,ETHICS-CSR-MAN,European Management Journal,2
544,ETHICS-CSR-MAN,Feminist Economics,2
545,ETHICS-CSR-MAN,Feminist Review,2
546,ETHICS-CSR-MAN,Global Journal of Flexible Systems Management,2
547,ETHICS-CSR-MAN,IIM Kozhikode Society & Management Review,2
548,ETHICS-CSR-MAN,International Journal of Business Governance and Ethics,2
549,ETHICS-CSR-MAN,International Journal of Conflict Management,2
550,ETHICS-CSR-MAN,International Journal of Gender and Entrepreneurship,2
551,ETHICS-CSR-MAN,International Studies of Management and Organization,2
552,ETHICS-CSR-MAN,Journal of Intellectual Capital,2
553,ETHICS-CSR-MAN,Journal of Management and Organization,2
554,ETHICS-CSR-MAN,Management Decision,2
555,ETHICS-CSR-MAN,Management Revue,2
556,ETHICS-CSR-MAN,Review of Managerial Science,2
557,ETHICS-CSR-MAN,Scandinavian Journal of Management,2
558,ETHICS-CSR-MAN,Schmalenbach Journal of Business Research,2
559,ETHICS-CSR-MAN,Sex Roles,2
560,ETHICS-CSR-MAN,Signs,2
561,ETHICS-CSR-MAN,Acta Commercii ,1
562,ETHICS-CSR-MAN,American Journal of Business ,1
563,ETHICS-CSR-MAN,Annals of Work Exposures and Health,1
564,ETHICS-CSR-MAN,Asian Journal of Management Cases,1
565,ETHICS-CSR-MAN,Baltic Journal of Management,1
566,ETHICS-CSR-MAN,Business & Professional Ethics Journal,1
567,ETHICS-CSR-MAN,Business and Human Rights Journal,1
568,ETHICS-CSR-MAN,Business Perspectives and Research,1
569,ETHICS-CSR-MAN,CASE Journal,1
570,ETHICS-CSR-MAN,Cogent Business and Management,1
571,ETHICS-CSR-MAN,Economic and Business Review,1
572,ETHICS-CSR-MAN,Emerald Emerging Markets Case Studies,1
573,ETHICS-CSR-MAN,FIIB Business Review ,1
574,ETHICS-CSR-MAN,Gender in Management: An International Journal,1
575,ETHICS-CSR-MAN,Global Business Review,1
576,ETHICS-CSR-MAN,International Journal of Arts Management,1
577,ETHICS-CSR-MAN,International Journal of Business Competition and Growth,1
578,ETHICS-CSR-MAN,International Journal of Business Environment,1
579,ETHICS-CSR-MAN,International Journal of Business Excellence,1
580,ETHICS-CSR-MAN,International Journal of Contemporary Management,1
581,ETHICS-CSR-MAN,International Journal of Globalisation and Small Business,1
582,ETHICS-CSR-MAN,International Journal of Knowledge-Based Development,1
583,ETHICS-CSR-MAN,International Journal of Management and Decision Making,1
584,ETHICS-CSR-MAN,International Journal of Management Concepts and Philosophy,1
585,ETHICS-CSR-MAN,International Journal of Management Practice,1
586,ETHICS-CSR-MAN,"International Journal of Management, Economics and Social Sciences",1
587,ETHICS-CSR-MAN,International Journal of Managing Projects in Business,1
588,ETHICS-CSR-MAN,Iranian Journal of Management Studies,1
589,ETHICS-CSR-MAN,Irish Journal of Management,1
590,ETHICS-CSR-MAN,Journal for Global Business Advancement,1
591,ETHICS-CSR-MAN,Journal of Contemporary Administration ,1
592,ETHICS-CSR-MAN,Journal of Creating Value ,1
593,ETHICS-CSR-MAN,Journal of Family Business Management,1
594,ETHICS-CSR-MAN,Journal of General Management,1
595,ETHICS-CSR-MAN,Journal of Global Responsibility ,1
596,ETHICS-CSR-MAN,Journal of Human Values,1
597,ETHICS-CSR-MAN,Journal of Indian Business Research,1
